product_id,warehouse,stock_quantity,reorder_level,stock_status,last_updated
FUR-FU-10000647,Rotterdam Warehouse,57.0,11.0,In Stock,2026-07-20
FUR-FU-10001588,Rotterdam Warehouse,89.0,17.0,In Stock,2026-07-20
OFF-ACC-10004910,Singapore Warehouse,384.0,76.0,In Stock,2026-07-20
OFF-STA-10001895,Singapore Warehouse,465.0,93.0,In Stock,2026-07-20
OFF-FA-10003668,Singapore Warehouse,272.0,54.0,In Stock,2026-07-20
OFF-EN-10004012,Singapore Warehouse,,52.0,In Stock,20/07/2026
FUR-CH-10000213,Rotterdam Warehouse,144.0,28.0,In Stock,2026-07-20
TEC-AC-10000221,Chicago Warehouse,86.0,17.0,In Stock,2026-07-20
OFF-SU-10001791,Singapore Warehouse,370.0,74.0,In Stock,2026-07-20
TEC-CO-10003534,Chicago Warehouse,115.0,23.0,In Stock,2026-07-20
OFF-ELI-10000711,Singapore Warehouse,247.0,49.0,In Stock,2026-07-20
OFF-PA-10000081,Singapore Warehouse,408.0,81.0,In Stock,2026-07-20
OFF-HAR-10003659,,322.0,64.0,In Stock,2026-07-20
OFF-ST-10004191,Singapore Warehouse,284.0,56.0,In Stock,2026-07-20
OFF-FA-10001832,Singapore Warehouse,369.0,73.0,In Stock,2026-07-20
TEC-CIS-10003501,Chicago Warehouse,200.0,,In Stock,2026-07-20
TEC-EPS-10004171,Chicago Warehouse,235.0,47.0,IN STOCK,2026-07-20
OFF-EN-10000352,Singapore Warehouse,480.0,96.0,In Stock,2026-07-20
OFF-LA-10000157,Singapore Warehouse,386.0,77.0,In Stock,2026-07-20
OFF-ST-10002318,Singapore Warehouse,412.0,82.0,In Stock,2026-07-20
OFF-AR-10001683,Singapore Warehouse,204.0,40.0,In Stock,2026-07-20
TEC-AC-10003422,Chicago Warehouse,216.0,43.0,In Stock,2026-07-20
OFF-SU-10000164,Singapore Warehouse,383.0,76.0,In Stock,2026-07-20
FUR-OFF-10003703,,102.0,20.0,In Stock,2026-07-20
OFF-SU-10001406,Singapore Warehouse,451.0,90.0,In Stock,2026-07-20
OFF-BI-10002414,Singapore Warehouse,347.0,69.0,In Stock,2026-07-20
OFF-EN-10004303,Singapore Warehouse,314.0,62.0,In Stock,2026-07-20
OFF-PA-10001790,Singapore Warehouse,407.0,81.0,In Stock,2026-07-20
FUR-HON-10001847,Rotterdam Warehouse,95.0,19.0,In Stock,2026-07-20
FUR-CH-10000595,Rotterdam Warehouse,53.0,10.0,IN STOCK,2026-07-20
FUR-TA-10003771,Rotterdam Warehouse,113.0,22.0,In Stock,2026-07-20
OFF-LA-10002827,Singapore Warehouse,280.0,56.0,IN STOCK,2026-07-20
FUR-BO-10004399,Rotterdam Warehouse ,116.0,23.0,In Stock,20/07/2026
OFF-AR-10002053,Singapore Warehouse,394.0,78.0,In Stock,2026-07-20
OFF-ST-10002370,Singapore Warehouse,391.0,78.0,In Stock,2026-07-20
OFF-PA-10000418,Singapore Warehouse,306.0,61.0,In Stock,2026-07-20
TEC-CO-10001264,Chicago Warehouse,111.0,22.0,IN STOCK,2026-07-20
OFF-LA-10003337,Singapore Warehouse,341.0,68.0,In Stock,2026-07-20
OFF-AR-10004707,Singapore Warehouse,342.0,68.0,In Stock,2026-07-20
OFF-ST-10000290,Singapore Warehouse,,95.0,In Stock,2026-07-20
OFF-ST-10003282,Singapore Warehouse,457.0,91.0,In Stock,2026-07-20
OFF-ST-10000060,Singapore Warehouse,344.0,68.0,IN STOCK,
OFF-LA-10001375,Singapore Warehouse,432.0,86.0,In Stock,2026-07-20
FUR-FU-10004848,Rotterdam Warehouse,97.0,19.0,In Stock,2026-07-20
TEC-AC-10000598,Chicago Warehouse,144.0,28.0,In Stock,2026-07-20
FUR-FU-10002379,Rotterdam Warehouse,96.0,19.0,In Stock,2026-07-20
OFF-AP-10003363,Singapore Warehouse,417.0,83.0,In Stock,2026-07-20
OFF-CAR-10000687,Singapore Warehouse,392.0,78.0,In Stock,2026-07-20
OFF-PA-10003919,Singapore Warehouse,452.0,90.0,In Stock,2026-07-20
OFF-LA-10004738,Singapore Warehouse,402.0,80.0,In Stock,2026-07-20
OFF-PA-10001733,Singapore Warehouse,329.0,65.0,In Stock,2026-07-20
OFF-ACM-10000476,Singapore Warehouse,375.0,75.0,In Stock,2026-07-20
TEC-HP -10002095,Chicago Warehouse,183.0,36.0,In Stock,2026-07-20
TEC-AC-10004518,Chicago Warehouse,107.0,21.0,IN STOCK,2026-07-20
TEC-BRO-10003401,Chicago Warehouse,242.0,48.0,In Stock,2026-07-20
TEC-AC-10000865,Chicago Warehouse,145.0,29.0,In Stock,2026-07-20
OFF-BI-10001650,Singapore Warehouse,414.0,82.0,In Stock,2026-07-20
FUR-BO-10001287,Rotterdam Warehouse ,139.0,27.0,In Stock,2026-07-20
FUR-CH-10003973,Rotterdam Warehouse,,27.0,In Stock,2026-07-20
OFF-EN-10004977,Singapore Warehouse,220.0,44.0,In Stock,2026-07-20
FUR-FU-10000669,Rotterdam Warehouse,71.0,14.0,In Stock,2026-07-20
OFF-PA-10002618,Singapore Warehouse,391.0,78.0,In Stock,2026-07-20
OFF-LA-10002995,Singapore Warehouse,256.0,51.0,In Stock,2026-07-20
TEC-HP -10003248,Chicago Warehouse,112.0,22.0,In Stock,2026-07-20
OFF-LA-10000709,Singapore Warehouse,330.0,66.0,In Stock,2026-07-20
OFF-FA-10000585,Singapore Warehouse,474.0,94.0,In Stock,2026-07-20
OFF-STO-10000347,Singapore Warehouse,457.0,91.0,In Stock,2026-07-20
OFF-HAM-10003628,Singapore Warehouse,384.0,76.0,,2026-07-20
OFF-PA-10004101,Singapore Warehouse,287.0,57.0,In Stock,2026-07-20
FUR-DEF-10000349,Rotterdam Warehouse,65.0,13.0,In Stock,2026-07-20
OFF-AR-10001654,Singapore Warehouse,215.0,43.0,In Stock,2026-07-20
OFF-AR-10003466,Singapore Warehouse,299.0,59.0,In Stock,2026-07-20
OFF-FA-10002895,Singapore Warehouse,460.0,92.0,In Stock,2026-07-20
OFF-AR-10001190,Singapore Warehouse,303.0,60.0,In Stock,2026-07-20
OFF-AP-10002573,Singapore Warehouse,382.0,76.0,IN STOCK,2026-07-20
OFF-AP-10002531,Singapore Warehouse,324.0,64.0,In Stock,2026-07-20
TEC-PH-10001760,Chicago Warehouse,106.0,21.0,In Stock,2026-07-20
TEC-BRO-10000663,Chicago Warehouse,172.0,34.0,IN STOCK,2026-07-20
OFF-SU-10001407,Singapore Warehouse,388.0,77.0,In Stock,2026-07-20
OFF-BI-10000042,Singapore Warehouse,344.0,68.0,In Stock,2026-07-20
FUR-ADV-10000002,Rotterdam Warehouse,135.0,27.0,In Stock,2026-07-20
TEC-CO-10000344,Chicago Warehouse,148.0,29.0,IN STOCK,2026-07-20
FUR-TA-10004757,Rotterdam Warehouse,140.0,28.0,In Stock,2026-07-20
OFF-FA-10003529,Singapore Warehouse,363.0,72.0,In Stock,2026-07-20
OFF-PA-10001523,Singapore Warehouse,228.0,45.0,In Stock,2026-07-20
OFF-PA-10003739,Singapore Warehouse,275.0,55.0,In Stock,2026-07-20
OFF-FA-10000439,Singapore Warehouse ,246.0,49.0,In Stock,2026-07-20
OFF-BI-10003265,Singapore Warehouse,360.0,72.0,In Stock,2026-07-20
OFF-EN-10004057,Singapore Warehouse,410.0,82.0,In Stock,2026-07-20
TEC-AC-10004203,Chicago Warehouse,240.0,48.0,In Stock,2026-07-20
OFF-BI-10004632,Singapore Warehouse,393.0,78.0,In Stock,2026-07-20
FUR-FU-10001950,Rotterdam Warehouse,130.0,26.0,In Stock,2026-07-20
OFF-PA-10002248,Singapore Warehouse,257.0,51.0,,2026-07-20
OFF-ST-10002562,Singapore Warehouse,432.0,86.0,In Stock,2026-07-20
OFF-AR-10000314,Singapore Warehouse,496.0,99.0,In Stock,
OFF-PA-10004326,Singapore Warehouse,298.0,59.0,In Stock,2026-07-20
OFF-PA-10000556,Singapore Warehouse,437.0,87.0,In Stock,2026-07-20
TEC-PH-10001884,Chicago Warehouse,173.0,34.0,In Stock,2026-07-20
TEC-PH-10002652,Chicago Warehouse,173.0,34.0,In Stock,2026-07-20
OFF-PA-10003381,Singapore Warehouse,348.0,69.0,In Stock,2026-07-20
TEC-PH-10002817,Chicago Warehouse,177.0,35.0,In Stock,2026-07-20
FUR-ELD-10003802,Rotterdam Warehouse,52.0,10.0,In Stock,2026-07-20
TEC-SAM-10000765,Chicago Warehouse,181.0,36.0,In Stock,2026-07-20
TEC-MA-10003298,Chicago Warehouse,119.0,23.0,In Stock,2026-07-20
OFF-LA-10001607,Singapore Warehouse,292.0,58.0,In Stock,2026-07-20
OFF-FA-10003020,Singapore Warehouse,208.0,41.0,In Stock,2026-07-20
TEC-MA-10001148,Chicago Warehouse,159.0,31.0,In Stock,2026-07-20
TEC-AC-10001076,Chicago Warehouse,163.0,32.0,IN STOCK,2026-07-20
FUR-DEF-10001359,Rotterdam Warehouse,132.0,26.0,In Stock,2026-07-20
TEC-AC-10001948,Chicago Warehouse,85.0,17.0,In Stock,2026-07-20
OFF-CAR-10004229,Singapore Warehouse,255.0,,In Stock,2026-07-20
OFF-TEN-10001585,Singapore Warehouse,373.0,74.0,In Stock,2026-07-20
TEC-PH-10004241,Chicago Warehouse,124.0,24.0,In Stock,2026-07-20
OFF-AP-10002041,Singapore Warehouse,250.0,50.0,In Stock,2026-07-20
TEC-HEW-10004172,Chicago Warehouse,211.0,42.0,In Stock,2026-07-20
TEC-PH-10002222,Chicago Warehouse,176.0,35.0,In Stock,2026-07-20
OFF-AP-10004868,Singapore Warehouse,367.0,73.0,In Stock,2026-07-20
FUR-FU-10001718,Rotterdam Warehouse,149.0,29.0,In Stock,2026-07-20
FUR-CH-10000333,Rotterdam Warehouse,57.0,11.0,IN STOCK,2026-07-20
OFF-EN-10003560,Singapore Warehouse,426.0,85.0,In Stock,2026-07-20
FUR-FU-10001475,Rotterdam Warehouse,51.0,10.0,IN STOCK,2026-07-20
OFF-FA-10003799,Singapore Warehouse,411.0,82.0,In Stock,2026-07-20
FUR-FU-10003194,Rotterdam Warehouse,109.0,21.0,In Stock,2026-07-20
OFF-EN-10003628,Singapore Warehouse,488.0,97.0,In Stock,2026-07-20
TEC-MOT-10004345,Chicago Warehouse,154.0,30.0,In Stock,2026-07-20
OFF-AP-10002608,Singapore Warehouse,361.0,72.0,,
FUR-BO-10000170,Rotterdam Warehouse,103.0,20.0,In Stock,2026-07-20
OFF-AME-10000851,Singapore Warehouse,409.0,81.0,In Stock,2026-07-20
TEC-AC-10000397,Chicago Warehouse,170.0,34.0,In Stock,2026-07-20
FUR-FU-10002957,Rotterdam Warehouse,148.0,29.0,In Stock,2026-07-20
OFF-PA-10000061,Singapore Warehouse,223.0,44.0,In Stock,2026-07-20
FUR-TA-10004667,Rotterdam Warehouse,113.0,22.0,In Stock,2026-07-20
OFF-EN-10004190,Singapore Warehouse,394.0,78.0,In Stock,2026-07-20
OFF-PA-10003573,Singapore Warehouse,261.0,52.0,In Stock,2026-07-20
OFF-STO-10000876,Singapore Warehouse,433.0,86.0,In Stock,2026-07-20
FUR-BO-10004357,Rotterdam Warehouse,114.0,22.0,In Stock,2026-07-20
OFF-PA-10004450,Singapore Warehouse,294.0,58.0,In Stock,
TEC-PH-10000038,Chicago Warehouse,202.0,40.0,In Stock,2026-07-20
OFF-LA-10002752,Singapore Warehouse,413.0,82.0,In Stock,2026-07-20
OFF-FA-10002964,Singapore Warehouse,353.0,70.0,In Stock,2026-07-20
TEC-AC-10003063,Chicago Warehouse,123.0,24.0,In Stock,2026-07-20
OFF-LA-10002334,Singapore Warehouse,219.0,43.0,In Stock,2026-07-20
TEC-PH-10001677,Chicago Warehouse,236.0,47.0,In Stock,2026-07-20
OFF-AP-10002577,Singapore Warehouse,407.0,81.0,IN STOCK,2026-07-20
TEC-AC-10000241,Chicago Warehouse,87.0,17.0,In Stock,20/07/2026
FUR-CH-10002116,Rotterdam Warehouse,138.0,27.0,In Stock,2026-07-20
OFF-PA-10004911,Singapore Warehouse,379.0,75.0,In Stock,2026-07-20
TEC-MA-10000697,Chicago Warehouse,220.0,44.0,In Stock,2026-07-20
TEC-PH-10000342,Chicago Warehouse,88.0,17.0,In Stock,2026-07-20
FUR-OFF-10001125,Rotterdam Warehouse,80.0,16.0,In Stock,2026-07-20
TEC-CO-10001162,Chicago Warehouse,196.0,39.0,In Stock,2026-07-20
OFF-BI-10003162,Singapore Warehouse,388.0,,In Stock,20/07/2026
OFF-XER-10001746,Singapore Warehouse,293.0,58.0,In Stock,2026-07-20
OFF-LA-10004677,Singapore Warehouse,454.0,90.0,In Stock,2026-07-20
TEC-AC-10001600,Chicago Warehouse,163.0,32.0,In Stock,2026-07-20
TEC-LOG-10001434,Chicago Warehouse,224.0,44.0,In Stock,2026-07-20
OFF-AP-10003800,Singapore Warehouse,384.0,76.0,In Stock,2026-07-20
FUR-TA-10003963,Rotterdam Warehouse,58.0,11.0,In Stock,2026-07-20
FUR-TA-10004937,Rotterdam Warehouse,95.0,19.0,IN STOCK,2026-07-20
TEC-STA-10002650,Chicago Warehouse,129.0,25.0,In Stock,2026-07-20
OFF-ST-10001780,Singapore Warehouse,338.0,67.0,In Stock,2026-07-20
OFF-ST-10002471,Singapore Warehouse,425.0,85.0,In Stock,2026-07-20
FUR-BO-10002471,Rotterdam Warehouse,55.0,11.0,In Stock,2026-07-20
FUR-TA-10003055,Rotterdam Warehouse,125.0,25.0,In Stock,2026-07-20
OFF-LA-10000438,Singapore Warehouse,254.0,50.0,In Stock,2026-07-20
TEC-CO-10003318,Chicago Warehouse,121.0,24.0,In Stock,2026-07-20
OFF-PA-10002073,,408.0,81.0,In Stock,2026-07-20
FUR-CH-10001795,Rotterdam Warehouse,73.0,14.0,In Stock,2026-07-20
OFF-XER-10004012,Singapore Warehouse,380.0,76.0,In Stock,2026-07-20
FUR-BO-10001524,Rotterdam Warehouse,142.0,28.0,In Stock,2026-07-20
OFF-AR-10001988,Singapore Warehouse,466.0,93.0,In Stock,2026-07-20
OFF-SU-10001722,Singapore Warehouse,405.0,81.0,In Stock,2026-07-20
FUR-TA-10001932,Rotterdam Warehouse,65.0,13.0,In Stock,2026-07-20
OFF-BIC-10002270,Singapore Warehouse,394.0,78.0,In Stock,2026-07-20
OFF-AR-10004685,Singapore Warehouse,382.0,76.0,In Stock,2026-07-20
OFF-AR-10000729,Singapore Warehouse,242.0,48.0,In Stock,2026-07-20
TEC-AC-10000317,Chicago Warehouse,186.0,37.0,In Stock,2026-07-20
OFF-CAR-10001911,Singapore Warehouse,306.0,,In Stock,2026-07-20
OFF-AR-10001132,Singapore Warehouse,407.0,81.0,In Stock,2026-07-20
TEC-BRO-10001293,Chicago Warehouse,89.0,17.0,In Stock,2026-07-20
FUR-TA-10001100,Rotterdam Warehouse,109.0,21.0,In Stock,2026-07-20
OFF-BI-10003031,Singapore Warehouse,449.0,89.0,In Stock,2026-07-20
OFF-AP-10000577,Singapore Warehouse,290.0,58.0,In Stock,20/07/2026
FUR-BO-10000002,Rotterdam Warehouse,103.0,20.0,In Stock,2026-07-20
OFF-BI-10004562,Singapore Warehouse ,252.0,50.0,In Stock,2026-07-20
OFF-PA-10002295,Singapore Warehouse,470.0,94.0,IN STOCK,2026-07-20
FUR-FU-10000672,Rotterdam Warehouse,,18.0,In Stock,2026-07-20
TEC-CAN-10004354,Chicago Warehouse,245.0,49.0,In Stock,2026-07-20
OFF-BI-10001135,Singapore Warehouse,280.0,56.0,In Stock,2026-07-20
FUR-BO-10002545,Rotterdam Warehouse,52.0,10.0,In Stock,2026-07-20
OFF-EN-10000358,Singapore Warehouse,455.0,91.0,In Stock,2026-07-20
TEC-AC-10003499,Chicago Warehouse ,116.0,23.0,In Stock,2026-07-20
OFF-ROG-10001549,Singapore Warehouse,469.0,93.0,In Stock,2026-07-20
OFF-EN-10003689,Singapore Warehouse,225.0,45.0,In Stock,2026-07-20
